id,track,heldout_score,mdd_improve_pp,cagr_giveback_pp,tip_ytd,tip_1y,tip_clean,tip_mdd_ytd_pp,tip_mdd_1y_pp,tip_mdd_clean,promote_shaped,coexist,full_cagr,full_mdd,heldout_cagr,heldout_mdd,sealed_cagr,sealed_mdd,n_fills,buy_soft,sell_soft,is_observe_ref
SOFT_CHAMP_PLUS_K9_LT30_a10__SELL_a05,soft,0.10099208553496775,0.10121715777380302,0.00045014447767055543,PASS,PASS,True,0.338464851535103,0.33846485153508077,True,True,True,0.13992624308831103,-0.2161905291986993,0.1839286591665965,-0.2161905291986993,0.2552643503496075,-0.12469329735878576,5795,BELOW_MA120@1+K9_LT30@1,RSI6_GT80@0.5,False
SOFT_CHAMP_PLUS_K9_LT30_a15,soft,0.09516231097513872,0.115127970919493,-0.03993131988870857,PASS,PASS,True,0.20692835530999876,0.20692835530998765,True,True,True,0.14013802158882083,-0.2160514210672423,0.1843324738102603,-0.2160514210672424,0.25564972960308396,-0.1260086623210368,5780,BELOW_MA120@1+K9_LT30@1.5,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT30_a10,soft,0.08527868225383095,0.10489086922705892,-0.03922437394645595,PASS,PASS,True,0.2280171503082462,0.2280171503082351,True,True,True,0.14013655040896156,-0.21615379208416674,0.18432540435083777,-0.21615379208416674,0.2555735035747173,-0.1257977743710541,5771,BELOW_MA120@1+K9_LT30@1,RSI6_GT80@1,True
SOFT_CHAMP_PLUS_K9_LT30_a075,soft,0.07689390104076432,0.09215725316281675,-0.030526704244104863,PASS,PASS,True,0.27377583083753043,0.27377583083751933,True,True,True,0.14008012986158724,-0.21628112824480927,0.18423842765381426,-0.21628112824480916,0.25528804105031644,-0.12534018756576126,5804,BELOW_MA120@1+K9_LT30@0.75,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT30_a025,soft,0.07270735524792515,0.08384603193285489,-0.022277353369859476,PASS,PASS,True,0.2930009235640907,0.2930009235640685,True,True,True,0.1400487574613356,-0.2163642404571089,0.1841559341450718,-0.21636424045710878,0.2549852968056927,-0.12514793663849588,5780,BELOW_MA120@1+K9_LT30@0.25,RSI6_GT80@1,False
SOFT_BOTH__BELOW_MA120__RSI6_GT80,soft,0.06775071774209884,0.0787053514347269,-0.021909267385256115,PASS,PASS,True,0.3314240000340418,0.3314240000340307,True,True,True,0.14004526061581446,-0.21641564726209006,0.18415225328522578,-0.21641564726209006,0.2548338308909508,-0.12476370587379615,5785,BELOW_MA120@1,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT30_a125,soft,0.06487960637745482,0.09233238498450591,-0.054905557214102174,PASS,PASS,True,0.18901160937682127,0.18901160937682127,True,True,True,0.1402003456600609,-0.21627937692659227,0.18448221618351424,-0.21627937692659227,0.2559139772974999,-0.12618782978036847,5804,BELOW_MA120@1+K9_LT30@1.25,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT30_a05,soft,0.05939980002251932,0.08239831409074805,-0.04599702813645745,PASS,PASS,True,0.2407815423013937,0.2407815423013826,True,True,True,0.1401558634207929,-0.21637871763552963,0.1843931308927378,-0.21637871763552985,0.25543104548344453,-0.12567013045112274,5800,BELOW_MA120@1+K9_LT30@0.5,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT30_a10__SELL_a15,soft,0.05489505634171943,0.09940685104534719,-0.08902358940725552,PASS,PASS,True,0.12095121347784898,0.12095121347784898,True,True,True,0.14038993790508925,-0.21620863226598386,0.18482339650544577,-0.21620863226598386,0.25601717537479907,-0.1268684337393583,5773,BELOW_MA120@1+K9_LT30@1,RSI6_GT80@1.5,False
SOFT_CHAMP_PLUS_K9_a075_BB_a025,soft,0.05385072704567895,0.08233180527631445,-0.05696215646127101,PASS,PASS,True,0.2076203804645793,0.2076203804645682,True,True,True,0.14021461682449288,-0.21637938272367419,0.18450278217598592,-0.21637938272367419,0.25579123819840155,-0.12600174206949089,5815,BELOW_MA120@1+K9_LT30@0.75+BB_LOWER@0.25,RSI6_GT80@1,False
SOFT_CHAMP_PLUS_K9_LT20_a10,soft,0.04232834022266374,0.057474630779452696,-0.03029258111357791,PASS,PASS,True,0.24749189803733307,0.24749189803731086,True,True,True,0.1400628052719426,-0.2166279544686428,0.184236086422509,-0.2166279544686428,0.2549752530457603,-0.12560302689376346,5827,BELOW_MA120@1+K9_LT20@1,RSI6_GT80@1,False
LIVE_KD_OPT,soft,0.0,0.0,0.0,PASS,PASS,True,0.0,0.0,True,False,False,0.14023801686669346,-0.21720270077643722,0.18393316061137321,-0.21720270077643733,0.2557299834147724,-0.12807794587413646,5751,none,none,False
