ym,year,long_ret,ew_ret,turnover_one_way,excess_gross,ym
2025-01,2025,0.06038695449534578,0.054612402859478396,1.0,0.005774551635867382,2025-01
2025-02,2025,-0.11958940563545178,-0.10201338129106362,0.46473029045643155,-0.017576024344388166,2025-02
2025-03,2025,-0.04167484801366413,-0.046618316660898135,0.6473029045643153,0.004943468647234002,2025-03
2025-04,2025,0.05219534362987582,0.03758708933172151,0.6141078838174274,0.014608254298154315,2025-04
2025-05,2025,0.015008491005212905,-0.010762262676624956,0.5020746887966805,0.02577075368183786,2025-05
2025-06,2025,0.015559384128274822,0.014251300940172412,0.46473029045643155,0.0013080831881024102,2025-06
2025-07,2025,0.0970308706447812,0.07907749231091611,0.19502074688796678,0.017953378333865094,2025-07
2025-08,2025,0.005596159799168282,-0.0005524848209646793,0.6141078838174274,0.006148644620132961,2025-08
2025-09,2025,-0.0017228838639015277,0.0016600963927237244,0.04149377593360992,-0.003382980256625252,2025-09
2025-10,2025,-0.006543973295128879,-0.006933250710761344,0.11203319502074693,0.00038927741563246545,2025-10
2025-11,2025,0.044851013795152495,0.03256834703960005,0.5560165975103735,0.012282666755552445,2025-11
2025-12,2025,0.04100964721986766,0.04860220091143793,0.27800829875518673,-0.007592553691570268,2025-12
2026-01,2026,0.04855294010765374,0.04178550153581791,0.35123966942148765,0.006767438571835836,2026-01
2026-02,2026,-0.04444790812316621,-0.05084470246212244,0.3471074380165289,0.006396794338956235,2026-02
2026-03,2026,0.11903448190469534,0.11150202883832103,0.3568464730290456,0.007532453066374317,2026-03
2026-04,2026,0.07838428339541545,0.10609413079523873,0.5103734439834025,-0.02770984739982328,2026-04
2026-05,2026,0.03256206199001563,0.01953617261277964,0.8132780082987552,0.013025889377235988,2026-05
2026-06,2026,-0.12237997299604686,-0.12114465596248007,0.13692946058091282,-0.001235317033566788,2026-06
2026-07,2026,0.12486100325894291,0.101396992429305,0.10788381742738584,0.023464010829637907,2026-07
