date,nav,cash,regime,dividend_credit,w_def,tgt_def
2018-10-05,3000000.0,3000000.0,Bear,0.0,0.0,0.0
2018-10-08,3001392.1419423055,2400663.1419423055,Bear,0.0,0.0,0.0
2018-10-09,3008895.354969064,1800049.004969064,Bear,0.0,0.0,0.0
2018-10-11,2963622.9186406694,1208042.0686406696,Bear,0.0,0.0,0.0
2018-10-12,2991755.8592826356,619490.3592826356,Bear,0.0,0.0,0.0
2018-10-15,2950561.2231456256,157219.72314562564,Bear,0.0,0.0,0.0
2018-10-16,2957316.158003285,39262.458003285254,Bear,0.0,0.0,0.0
2018-10-17,2958186.913387691,9857.313387691253,Bear,0.0,0.0,0.0
2018-10-18,2957325.913387691,9857.313387691253,Bear,0.0,0.0,0.0
2018-10-19,2956753.013387691,9857.313387691253,Bear,0.0,0.0,0.0
2018-10-22,2958524.363387691,9857.313387691253,Bear,0.0,0.0,0.0
2018-10-23,2935407.287653216,5623.587653215755,Bear,0.0,0.0,0.0
2018-10-24,2934355.187653216,5623.587653215755,Bear,0.0,0.0,0.0
2018-10-25,2918239.937653216,5623.587653215755,Crisis,0.0,0.0,0.0
2018-10-26,2918657.477575357,3737.8775753570117,Crisis,0.0,0.0,0.0
2018-10-29,2915014.926023849,1723.4760238485183,Crisis,0.0,0.0,0.0
2018-10-30,2927142.2470326135,1079.747032613271,Crisis,0.0,0.0,0.0
2018-10-31,2958945.0470326133,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-01,2929813.447032613,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-02,2940933.7470326135,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-05,2950283.5970326136,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-06,2954068.797032614,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-07,2983694.2970326133,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-08,2999465.4970326135,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-09,2990327.4970326135,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-12,2984414.5970326136,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-13,2977134.4470326137,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-14,3000976.6470326134,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-15,2994400.3970326134,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-16,2997173.5970326136,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-19,3005074.4970326135,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-20,2998107.7970326133,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-21,2993624.6470326134,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-22,2991017.6470326134,1079.747032613271,Bear,0.0,0.0,0.0
2018-11-23,2991414.5698483195,41877.519848319396,Bear,0.0,0.0,0.0
2018-11-26,2987534.2416804456,14300.691680445769,Bear,0.0,0.0,0.0
2018-11-27,2984180.765766234,24821.4157662339,Bear,0.0,0.0,0.0
2018-11-28,2990340.8657662338,24821.4157662339,Bear,0.0,0.0,0.0
2018-11-29,2969343.465766234,24821.4157662339,Bear,0.0,0.0,0.0
2018-11-30,2958784.215766234,24821.4157662339,Bear,0.0,0.0,0.0
2018-12-03,2968520.515766234,24821.4157662339,Bear,0.0,0.0,0.0
2018-12-04,2971800.265766234,24821.4157662339,Bear,0.0,0.0,0.0
2018-12-05,2962451.3116359273,19250.411635927525,Bear,0.0,0.0,0.0
2018-12-06,2954984.711635927,19250.411635927525,Bear,0.0,0.0,0.0
2018-12-07,2963866.461635927,19250.411635927525,Bear,0.0,0.0,0.0
2018-12-10,2945466.5616359273,19250.411635927525,Bear,0.0,0.0,0.0
2018-12-11,2953775.1616359274,19250.411635927525,Bear,0.0,0.0,0.0
