date,nav,cash,regime,dividend_credit,w_def,tgt_def
2022-09-28,3000000.0,3000000.0,Crisis,0.0,0.0,0.25
2022-09-29,2998164.238221388,2397889.988221388,Crisis,0.0,0.05027358010561062,0.25
2022-09-30,2986470.665951887,1800722.0159518872,Crisis,0.0,0.0998774919843145,0.25
2022-10-03,2963734.8223336865,1207306.0223336865,Crisis,0.0,0.14971514882381137,0.25
2022-10-04,2978986.226554191,609972.9265541915,Crisis,0.0,0.202800971221278,0.25
2022-10-05,2981283.170535585,150450.67053558468,Crisis,0.0,0.24201830511469952,0.25
2022-10-06,2991484.9756160746,37200.275616074425,Crisis,0.0,0.24813077988036122,0.25
2022-10-07,2962992.2756160744,37200.275616074425,Crisis,0.0,0.2475695957889322,0.25
2022-10-11,2902996.8756160745,37200.275616074425,Crisis,0.0,0.24466426607822944,0.25
2022-10-12,2913516.8056160747,37200.275616074425,Crisis,0.0,0.24298156737431456,0.25
2022-10-13,2868297.1956160744,37200.275616074425,Crisis,0.0,0.24234689524587294,0.25
2022-10-14,2868453.5856160745,37200.275616074425,Crisis,0.0,0.24801654925408298,0.25
2022-10-17,2855275.7156160744,37200.275616074425,Crisis,0.0,0.2483456277520998,0.25
2022-10-18,2865164.2456160747,37200.275616074425,Crisis,0.0,0.24870766871055155,0.25
2022-10-19,2834673.3756160745,37200.275616074425,Crisis,0.0,0.2505613543026401,0.25
2022-10-20,2846928.8656160743,37200.275616074425,Crisis,0.0,0.24805127677371105,0.25
2022-10-21,2862872.8556160745,37200.275616074425,Crisis,0.0,0.24524633660299597,0.25
2022-10-24,2868337.7756160744,37200.275616074425,Crisis,0.0,0.2455909502669007,0.25
2022-10-25,2891295.8956160746,37200.275616074425,Crisis,0.0,0.23941237596939352,0.25
2022-10-26,2894588.4456160744,37200.275616074425,Crisis,0.0,0.23914004806050138,0.25
2022-10-27,2893496.5556160747,37200.275616074425,Crisis,0.0,0.2426507398591007,0.25
2022-10-28,2883049.3656160743,37200.275616074425,Crisis,0.0,0.24090490724274666,0.25
2022-10-31,2901410.3756160745,37200.275616074425,Crisis,0.0,0.24078496646709568,0.25
2022-11-01,2913857.3956160746,37200.275616074425,Crisis,0.0,0.24255357213545756,0.25
2022-11-02,2895258.6056160745,37200.275616074425,Crisis,0.0,0.24551927023760348,0.25
2022-11-03,2875503.3656160748,37200.275616074425,Crisis,0.0,0.24558633748936703,0.25
2022-11-04,2907232.1056160745,37200.275616074425,Crisis,0.0,0.24350683202502046,0.25
2022-11-07,2914379.245616074,37200.275616074425,Crisis,0.0,0.24750417128623187,0.25
2022-11-08,2935298.4058454656,9206.515845465558,Crisis,0.0,0.2483968711828428,0.25
2022-11-09,2963347.5158454655,9206.515845465558,Crisis,0.0,0.25040050012099074,0.25
2022-11-10,2939624.2758454657,9206.515845465558,Crisis,0.0,0.2508249323080366,0.25
2022-11-11,3004460.8758454653,9206.515845465558,Crisis,0.0,0.25224537489999277,0.25
2022-11-14,3015181.1058454653,9206.515845465558,Crisis,0.0,0.2544612124666594,0.25
2022-11-15,3026198.9258454656,9206.515845465558,Crisis,0.0,0.2581867812214995,0.24999999999999994
2022-11-16,2997980.2676397185,18601.117639718756,Crisis,0.0,0.2540414319002871,0.24999999999999994
2022-11-17,2983988.250553506,9065.050553505853,Crisis,0.0,0.25218842596327656,0.25
2022-11-18,2973846.0132773137,4924.663277313713,Crisis,0.0,0.2495124484210497,0.25
2022-11-21,2969140.720951889,891.6709518893435,Crisis,0.0,0.2495140074608826,0.25
2022-11-22,2974080.6209518895,891.6709518893435,Crisis,0.0,0.24891028332751278,0.25
2022-11-23,2986332.8209518893,891.6709518893435,Crisis,0.0,0.24939713509983175,0.25
2022-11-24,3021762.470951889,891.6709518893435,Crisis,0.0,0.24945377316918882,0.25
2022-11-25,3030312.0709518893,891.6709518893435,Crisis,0.0,0.24837842848428845,0.25
2022-11-28,2997994.6857276373,23.485727637102173,Crisis,0.0,0.2492631836732649,0.25
2022-11-29,3029175.285727637,23.485727637102173,Crisis,0.0,0.24819141485218038,0.25
2022-11-30,3064848.785727637,23.485727637102173,Crisis,0.0,0.24807122737688156,0.25
2022-12-01,3060862.285727637,23.485727637102173,Crisis,0.0,0.2511665760281802,0.25
2022-12-02,3048993.785727637,23.485727637102173,Crisis,0.0,0.2525153391928808,0.25
2022-12-05,3045408.2857276374,23.485727637102173,Crisis,0.0,0.2531841472992426,0.24999999999999994
2022-12-06,3015759.885727637,23.485727637102173,Crisis,0.0,0.2517340334662715,0.24999999999999994
2022-12-07,3029944.7857276374,23.485727637102173,Crisis,0.0,0.24831508598573906,0.24999999999999994
2022-12-08,3021435.385727637,23.485727637102173,Crisis,0.0,0.24770382432645055,0.24999999999999994
2022-12-09,3038248.281193296,6.471193295783451,Crisis,0.0,0.2502970427753592,0.24999999999999994
2022-12-12,3037077.881193296,6.471193295783451,Crisis,0.0,0.24851929701040226,0.24999999999999994
2022-12-13,3009361.2911932957,6.471193295783451,Crisis,0.0,0.2500516047050019,0.25
2022-12-14,3043409.971193296,6.471193295783451,Crisis,0.0,0.25062065486397006,0.25
2022-12-15,3043737.4432855844,39670.173285584286,Crisis,0.0,0.2514380869770025,0.25
2022-12-16,3002388.38538395,35761.475383949975,Crisis,0.0,0.2472157711551637,0.25
2022-12-19,2999725.32538395,35761.475383949975,Crisis,0.0,0.24611508385538736,0.25
2022-12-20,2976600.881283223,21035.881283223353,Crisis,0.0,0.24615245013437326,0.25
2022-12-21,2983083.9812832233,21035.881283223353,Crisis,0.0,0.246576933339834,0.25
2022-12-22,3007046.8512832234,21035.881283223353,Crisis,0.0,0.24765773758470036,0.25
2022-12-23,2986093.361283223,21035.881283223353,Crisis,0.0,0.2470952146261501,0.25
2022-12-26,2997166.901283223,21035.881283223353,Crisis,0.0,0.24656425362351458,0.25
2022-12-27,3002172.2012832235,21035.881283223353,Crisis,0.0,0.24710651830128438,0.25
2022-12-28,2984383.321283223,21035.881283223353,Crisis,0.0,0.24685318898084185,0.25
2022-12-29,2970971.5212832233,21035.881283223353,Crisis,0.0,0.247004198708387,0.25
2022-12-30,2986548.071283223,21035.881283223353,Crisis,0.0,0.24667426152744357,0.25
2023-01-03,2998114.571283223,21035.881283223353,Crisis,0.0,0.24763187741762419,0.25
2023-01-04,3004292.921283223,21035.881283223353,Crisis,0.0,0.2480752907681399,0.25
2023-01-05,3018049.8912832234,21035.881283223353,Crisis,0.0,0.24713417168954474,0.25
2023-01-06,3029268.341283223,21035.881283223353,Crisis,0.0,0.24810857782299386,0.25
2023-01-09,3091412.741283223,21035.881283223353,Crisis,0.0,0.2477501466472191,0.25
2023-01-10,3096420.051283223,21035.881283223353,Crisis,0.0,0.24790409805087127,0.25
2023-01-11,3061531.011283223,21035.881283223353,Crisis,0.0,0.2503552559732976,0.25
2023-01-12,3041163.611283223,21035.881283223353,Crisis,0.0,0.2510908249615003,0.25
2023-01-13,3049034.7312832233,21035.881283223353,Crisis,0.0,0.2506303690671261,0.25
2023-01-16,3077669.725452923,4782.425452923283,Crisis,0.0,0.24913384748818734,0.25
2023-01-17,3068537.2754529235,4782.425452923283,Crisis,0.0,0.2498753090385143,0.25
2023-01-30,3134317.425452923,9597.625452923283,Crisis,4815.2,0.2530164282532434,0.25
2023-01-31,3077614.125452923,9597.625452923283,Crisis,0.0,0.25656423054134386,0.25
2023-02-01,3095361.6800270765,15249.44002707629,Crisis,0.0,0.2518292111160274,0.25
2023-02-02,3109388.3300270764,15249.44002707629,Crisis,0.0,0.25339657076320826,0.25
2023-02-03,3110322.490027076,15249.44002707629,Crisis,0.0,0.2531402941413789,0.25
2023-02-06,3089382.5700270766,15249.44002707629,Crisis,0.0,0.25340494815866677,0.24296401627082398
2023-02-07,3094684.3800950027,24170.02009500287,Crisis,0.0,0.2451567484166865,0.24296401627082398
2023-02-08,3107174.4400950028,24170.02009500287,Bull,0.0,0.24714258397945651,0.0
2023-02-09,3107668.724302894,278155.90430289396,Bull,0.0,0.1702844051110069,0.0
2023-02-10,3119344.2744097323,233261.4744097324,Crisis,0.0,0.11556294153142588,0.25000000000000006
2023-02-13,3135927.571664326,56907.68166432576,Crisis,0.0,0.21478781783296197,0.25000000000000006
2023-02-14,3149132.7394150896,13643.739415089498,Bull,0.0,0.24155085318546646,0.0
2023-02-15,3119931.077141637,298445.55714163673,Crisis,0.0,0.15936202041216707,0.25000000000000006
2023-02-16,3136376.104916339,73446.8249163387,Crisis,0.0,0.2288822373294891,0.25000000000000006
2023-02-17,3132304.9437166112,18089.963716611426,Crisis,0.0,0.2441729313533899,0.25
2023-02-20,3154451.8559093303,4192.215909330282,Crisis,0.0,0.24853780492205263,0.25
2023-02-21,3145695.7265131916,8246.71651319186,Crisis,0.0,0.25120436898577647,0.24591696081484749
2023-02-22,3145859.6424662024,22233.442466202316,Crisis,0.0,0.24532880920108996,0.25
2023-02-23,3162864.008323262,51352.958323262224,Bull,0.0,0.25010816080561293,0.0
2023-02-24,3144480.675233797,304206.8752337971,Crisis,0.0,0.16877232039613074,0.25
2023-03-01,3139629.3704813886,76422.54048138866,Bull,0.0,0.2300468287087205,0.0
2023-03-02,3134641.936441146,299871.086441146,Bull,0.0,0.15112180580912551,0.0
2023-03-03,3140171.0094991135,256182.1694991137,Bull,0.0,0.09372248807778923,0.0
2023-03-06,3158496.0920121893,248749.1020121893,Bull,0.0,0.04576666735968915,0.0
2023-03-07,3174507.720246063,216263.26024606323,Bull,0.0,0.011487311801898341,0.0
2023-03-08,3171380.0761589603,85569.95615896044,Bull,0.0,0.0028687573805467716,0.0
2023-03-09,3155890.5315183927,49081.241518392686,Bull,0.0,0.0007187321541563997,0.0
2023-03-10,3124278.8669743086,14351.556974308514,Bull,0.0,0.000178380363510804,0.0
2023-03-13,3119441.018988787,29967.418988787165,Bull,0.0,4.603388848382524e-05,0.0
2023-03-14,3082202.6189887873,29967.418988787165,Bull,0.0,4.613583776872306e-05,0.0
2023-03-15,3071103.439751643,12926.029751643298,Bull,0.0,1.3988457517886187e-05,0.0
2023-03-16,3043766.599751643,12926.029751643298,Bull,0.0,1.3887398594704676e-05,0.0
2023-03-17,3052316.379751643,12926.029751643298,Bull,0.0,1.4005756507940512e-05,0.0
2023-03-20,3047316.629751643,12926.029751643298,Bull,0.0,1.4028735833559945e-05,0.0
2023-03-21,3067854.219751643,12926.029751643298,Bull,0.0,1.3964157659182415e-05,0.0
2023-03-22,3110903.4997516433,12926.029751643298,Bull,0.0,1.3925214974832367e-05,0.0
