date,nav,cash,regime,dividend_credit,w_def,tgt_def
2019-02-19,3000000.0,3000000.0,Bear,0.0,0.0,0.25
2019-02-20,3000197.0796055007,2398681.4996055006,Bear,0.0,0.04996427768662146,0.25000000000000006
2019-02-21,3001208.02614211,1798986.0361421101,Bear,0.0,0.09942439424419651,0.25000000000000006
2019-02-22,3003145.7682586913,1199316.8582586914,Bear,0.0,0.14895183068631768,0.25000000000000006
2019-02-25,3008962.289167443,597053.6891674428,Bear,0.0,0.20013511042261148,0.25000000000000006
2019-02-26,3008841.6542455293,148739.45424552925,Bear,0.0,0.23814699553528845,0.25000000000000006
2019-02-27,3019185.9017605498,37182.65176054972,Bear,0.0,0.24587439268550038,0.25000000000000006
2019-03-04,3006677.85176055,37182.65176054972,Bear,0.0,0.24493724845472745,0.25000000000000006
2019-03-05,3007487.75176055,37182.65176054972,Bear,0.0,0.24651471965795987,0.25000000000000006
2019-03-06,3015293.3017605497,37182.65176054972,Bear,0.0,0.2465070311952778,0.25000000000000006
2019-03-07,3010527.3017605497,37182.65176054972,Bear,0.0,0.24677098911062767,0.25000000000000006
2019-03-08,3008450.25176055,37182.65176054972,Bear,0.0,0.24795237998815753,0.25000000000000006
2019-03-11,3009406.50176055,37182.65176054972,Bear,0.0,0.24755774919877463,0.25000000000000006
2019-03-12,3022950.6517605498,37182.65176054972,Bear,0.0,0.24638569589821976,0.25000000000000006
2019-03-13,3034414.85176055,37182.65176054972,Bear,0.0,0.24714633187511806,0.25000000000000006
2019-03-14,3023103.7017605496,37182.65176054972,Bear,0.0,0.2472535757091951,0.25000000000000006
2019-03-15,3027648.75176055,37182.65176054972,Bull,0.0,0.24612894727853676,0.0
2019-03-18,3046666.4376620133,286460.65766201296,Bull,0.0,0.1600318873024224,0.0
2019-03-19,3052591.721406135,224333.93140613456,Bull,0.0,0.09759825983632155,0.0
2019-03-20,3063472.6318720733,210519.1518720732,Bull,0.0,0.04532832399261293,0.0
2019-03-21,3069876.7331345193,168573.93313451923,Bull,0.0,0.011390294477490927,0.0
2019-03-22,3062704.802469073,58163.54246907325,Bull,0.0,0.0028654116429781577,0.0
2019-03-25,3038168.451758883,16014.951758882751,Bull,0.0,0.000742815955018384,0.0
2019-03-26,3057654.0460642963,41285.946064296404,Bull,0.0,0.00018429161426071638,0.0
2019-03-27,3053581.3569605676,10254.08696056741,Bull,0.0,5.289526661270017e-05,0.0
2019-03-28,3049061.2592575494,34248.43925754911,Bull,0.0,1.33549301039348e-05,0.0
2019-03-29,3072352.978707169,9842.848707169234,Bull,0.0,1.3159295263336813e-05,0.0
2019-04-01,3062919.7831958923,29308.863195892238,Bull,0.0,1.3229207053447833e-05,0.0
2019-04-02,3060632.6031958926,29308.863195892238,Bull,0.0,1.3196618227821603e-05,0.0
2019-04-03,3065788.5150941676,6804.345094167475,Bull,0.0,1.3184210130932165e-05,0.0
2019-04-08,3070463.4050941677,6804.345094167475,Bull,0.0,1.3226016611246516e-05,0.0
2019-04-09,3080193.295094168,6804.345094167475,Bull,0.0,1.318099096724343e-05,0.0
2019-04-10,3084208.8150941674,6804.345094167475,Bull,0.0,1.3218949313830818e-05,0.0
2019-04-11,3079949.6050941674,6804.345094167475,Bull,0.0,1.3315152927233089e-05,0.0
2019-04-12,3082326.3350941674,6804.345094167475,Bull,0.0,1.3314618745177803e-05,0.0
2019-04-15,3084648.2750941673,6804.345094167475,Bull,0.0,1.3317563733825023e-05,0.0
2019-04-16,3085503.4702111394,1228.4802111389727,Bull,0.0,1.3349523148383102e-05,0.0
2019-04-17,3092838.770211139,1228.4802111389727,Bull,0.0,1.3285529267080064e-05,0.0
2019-04-18,3097173.860211139,1228.4802111389727,Bull,0.0,1.3263704865828717e-05,0.0
2019-04-19,3108275.2902111392,1228.4802111389727,Bull,0.0,1.322598423938424e-05,0.0
2019-04-22,3106196.5402111392,1228.4802111389727,Bull,0.0,1.3234835422618044e-05,0.0
2019-04-23,3119531.520211139,1228.4802111389727,Bull,0.0,1.3043625216277981e-05,0.0
2019-04-24,3147461.020211139,1228.4802111389727,Bull,0.0,1.294376633686382e-05,0.0
2019-04-25,3154591.3402111395,1228.4802111389727,Bull,0.0,1.3015948999990541e-05,0.0
2019-04-26,3156152.980211139,1228.4802111389727,Bull,0.0,1.3006340395215523e-05,0.0
2019-04-29,3188582.690211139,1228.4802111389727,Bull,0.0,1.292423750731432e-05,0.0
2019-04-30,3213149.380211139,1228.4802111389727,Bull,0.0,1.2791188686440492e-05,0.0
2019-05-02,3226560.5402111392,1228.4802111389727,Bull,0.0,1.277211429521273e-05,0.0
2019-05-03,3225198.190211139,1228.4802111389727,Bull,0.0,1.2699994724143924e-05,0.0
2019-05-06,3197603.4702111394,1228.4802111389727,Bull,0.0,1.2912795593530425e-05,0.0
2019-05-07,3223390.880211139,1228.4802111389727,Bull,0.0,1.2797082802845814e-05,0.0
2019-05-08,3222857.9855258586,57159.74552585861,Bull,0.0,1.2796095945031555e-05,0.0
2019-05-09,3183873.602508751,14464.092508751244,Bull,0.0,1.2896240594364847e-05,0.0
2019-05-10,3176410.7925087516,14464.092508751244,Bull,0.0,1.2939132462630545e-05,0.0
2019-05-13,3162526.4925087513,14464.092508751244,Bull,0.0,1.2980128418603723e-05,0.0
2019-05-14,3151329.943202054,34560.22320205424,Bull,0.0,1.304845913983165e-05,0.0
2019-05-15,3163257.848173654,46340.698173654375,Bull,0.0,1.304035332554891e-05,0.0
2019-05-16,3147650.5719061703,44524.52190617063,Bull,0.0,1.3168551925666418e-05,0.0
2019-05-17,3159483.6017620973,38382.561762097124,Bull,0.0,1.3163543554017676e-05,0.0
2019-05-20,3189248.111762097,38382.561762097124,Bull,0.0,1.3059504478937477e-05,0.0
2019-05-21,3234813.921762097,38382.561762097124,Bull,0.0,1.2878638774160642e-05,0.0
2019-05-22,3213747.5617620973,38382.561762097124,Bull,0.0,1.2975505760364047e-05,0.0
2019-05-23,3208511.0722275097,28042.552227509746,Bear,0.0,1.3034083117863906e-05,0.25
2019-05-24,3214674.457812184,17812.707812183857,Bear,0.0,0.07960358143827663,0.25
2019-05-27,3222682.7372199367,9435.63721993714,Bear,0.0,0.14617821188516517,0.25
2019-05-28,3218161.081375013,2276.79137501301,Bear,0.0,0.20264272779079273,0.25000000000000006
2019-05-29,3229982.69644902,36.59644902005675,Bear,0.0,0.2375251888635339,0.25
2019-05-30,3245543.4352371823,16.395237182310666,Bull,0.0,0.24482656167007405,0.0
2019-05-31,3271873.180219356,327143.8902193561,Bull,0.0,0.15633660347608785,0.0
2019-06-03,3267238.0550151416,261607.0050151418,Bull,0.0,0.09391455254660898,0.0
2019-06-04,3270721.2279700185,252931.7179700187,Bull,0.0,0.04186376656899697,0.0
2019-06-05,3272881.2529164883,186801.50291648848,Bull,0.0,0.010392433263409906,0.0
2019-06-06,3311239.184385277,74380.78438527691,Bull,0.0,0.002574383644708691,0.0
2019-06-10,3327805.712107277,41961.79210727688,Bull,0.0,0.0006539354121794499,0.0
2019-06-11,3258704.0323989564,10620.722398956163,Bull,0.0,0.00016982518034710774,0.0
2019-06-12,3214136.9523989563,10620.722398956163,Bull,0.0,0.00017335291191750057,0.0
2019-06-13,3217879.862398956,10620.722398956163,Bull,0.0,0.00017343406959386586,0.0
2019-06-14,3225021.772398956,10620.722398956163,Bull,0.0,0.00017333216314511382,0.0
2019-06-17,3232469.4723989563,10620.722398956163,Bull,0.0,0.00017273171634491082,0.0
2019-06-18,3240462.542398956,10620.722398956163,Bull,0.0,0.00017306788542132562,0.0
2019-06-19,3289860.3823989565,10620.722398956163,Bull,0.0,0.00017118051666051108,0.0
