code,date,open,high,low,close,volume
2801,2004-02-11,19.6,19.7,19.2,19.3,121414618.0
2834,2004-02-11,12.1,12.55,11.8,12.25,113304825.0
2880,2004-02-11,29.5,29.6,29.0,29.0,39595808.0
2881,2004-02-11,32.2,32.6,31.8,32.3,35188002.0
2882,2004-02-11,56.5,58.0,56.0,57.0,70757132.0
2884,2004-02-11,22.3,22.8,22.2,22.5,42689652.0
2885,2004-02-11,15.8,15.9,15.1,15.1,50469472.0
2886,2004-02-11,22.7,23.2,22.4,22.7,145659729.0
2890,2004-02-11,18.4,18.5,18.1,18.2,53092905.0
2891,2004-02-11,39.2,39.3,38.7,38.7,27875095.0
2892,2004-02-11,27.5,27.6,27.0,27.1,95051481.0
2801,2004-02-12,19.7,20.6,19.3,19.5,493553106.0
2834,2004-02-12,12.4,13.1,11.9,12.2,171962912.0
2880,2004-02-12,29.5,31.0,29.0,29.3,198016271.0
2881,2004-02-12,32.8,33.6,32.3,32.5,52947841.0
2882,2004-02-12,57.5,59.5,57.0,57.5,117909463.0
2884,2004-02-12,22.6,23.2,21.8,22.0,58203599.0
2885,2004-02-12,15.4,15.6,14.35,14.5,72498473.0
2886,2004-02-12,23.1,23.8,22.4,22.5,240246237.0
2890,2004-02-12,18.3,18.6,17.7,17.8,91696551.0
2891,2004-02-12,38.7,40.0,38.7,39.2,63223340.0
2892,2004-02-12,27.3,28.8,26.4,26.7,208201875.0
2801,2004-02-13,19.9,20.8,19.9,20.8,311405034.0
2834,2004-02-13,12.5,13.05,12.4,13.05,119312028.0
2880,2004-02-13,29.5,31.3,29.5,31.3,150373344.0
2881,2004-02-13,32.9,34.2,32.7,34.0,60955340.0
2882,2004-02-13,58.5,61.5,58.5,61.5,130742144.0
2884,2004-02-13,22.1,23.5,22.1,22.9,62620415.0
2885,2004-02-13,14.6,15.3,14.6,15.2,57037256.0
2886,2004-02-13,22.7,24.0,22.7,23.9,248206252.0
2890,2004-02-13,18.1,18.8,18.1,18.7,98535570.0
2891,2004-02-13,39.2,41.8,39.1,41.7,85905689.0
2892,2004-02-13,27.0,28.5,27.0,28.5,227608861.0
2801,2004-02-16,21.7,22.2,21.5,22.2,449401618.0
2834,2004-02-16,13.4,13.95,13.2,13.95,176175608.0
2880,2004-02-16,31.2,31.9,30.9,31.8,117020845.0
2881,2004-02-16,34.2,35.0,34.1,34.6,55943810.0
2882,2004-02-16,62.0,64.5,61.5,63.5,126644145.0
2884,2004-02-16,23.0,23.2,22.7,22.9,34080368.0
2885,2004-02-16,15.2,15.5,14.7,14.8,46971808.0
2886,2004-02-16,23.9,24.0,23.4,23.9,165092036.0
2890,2004-02-16,18.9,19.2,18.6,18.7,114891099.0
2891,2004-02-16,41.6,42.0,40.9,41.9,52222407.0
2892,2004-02-16,28.3,28.6,27.8,28.1,139440089.0
2801,2004-02-17,22.0,22.8,21.6,22.6,280442751.0
2834,2004-02-17,14.0,14.8,13.55,14.8,155674902.0
2880,2004-02-17,31.7,31.7,30.9,31.4,60340797.0
2881,2004-02-17,34.8,35.2,34.1,34.1,43645572.0
2882,2004-02-17,63.5,63.5,62.5,63.0,46766027.0
2884,2004-02-17,23.0,23.5,23.0,23.3,148398554.0
2885,2004-02-17,14.8,15.3,14.75,15.2,57055443.0
2886,2004-02-17,24.2,24.4,23.8,24.1,157401438.0
2890,2004-02-17,18.7,18.8,18.5,18.7,36696977.0
2891,2004-02-17,41.9,41.9,40.8,40.9,34708180.0
2892,2004-02-17,28.1,28.6,27.8,28.1,102423553.0
2801,2004-02-18,22.5,22.5,21.7,21.8,207495089.0
2834,2004-02-18,14.7,14.9,14.05,14.2,133264958.0
2880,2004-02-18,31.3,31.4,30.1,30.3,66238843.0
2881,2004-02-18,34.2,34.8,33.8,34.0,38296294.0
2882,2004-02-18,63.0,64.0,61.0,61.0,83475782.0
2884,2004-02-18,23.5,23.6,22.8,22.8,45298275.0
2885,2004-02-18,15.2,15.4,14.7,14.75,39011246.0
2886,2004-02-18,23.9,24.1,23.3,23.3,126138997.0
2890,2004-02-18,18.8,19.3,18.5,18.7,93700704.0
2891,2004-02-18,40.9,41.2,40.0,40.4,41559082.0
2892,2004-02-18,28.3,28.4,27.3,27.3,74909322.0
2801,2004-02-19,21.6,22.9,21.5,22.6,257938252.0
2834,2004-02-19,14.05,15.1,14.0,15.1,213202365.0
2880,2004-02-19,30.3,31.2,30.2,31.0,50860113.0
2881,2004-02-19,34.1,34.6,33.8,34.4,26207247.0
2882,2004-02-19,61.0,62.5,60.5,62.0,58324139.0
2884,2004-02-19,22.8,23.6,22.7,23.5,31276830.0
2885,2004-02-19,14.8,15.2,14.75,15.1,43805283.0
2886,2004-02-19,23.3,24.0,23.2,23.7,98146576.0
2890,2004-02-19,18.7,18.7,18.4,18.6,44527508.0
2891,2004-02-19,40.0,40.6,40.0,40.0,32502744.0
2892,2004-02-19,27.3,27.9,27.2,27.8,68755399.0
2801,2004-02-20,22.6,22.8,22.1,22.5,133910945.0
2834,2004-02-20,15.1,15.4,14.8,15.1,134357411.0
2880,2004-02-20,31.0,31.2,30.4,30.7,31995588.0
2881,2004-02-20,34.4,34.6,34.1,34.6,24488506.0
2882,2004-02-20,62.0,62.5,61.0,61.0,30030461.0
2884,2004-02-20,23.4,23.5,22.8,22.9,19994886.0
2885,2004-02-20,15.3,15.9,15.0,15.7,114750341.0
2886,2004-02-20,23.7,23.8,23.3,23.3,60305719.0
2890,2004-02-20,18.7,18.8,18.3,18.3,59492531.0
2891,2004-02-20,40.0,40.2,39.3,39.6,28389003.0
2892,2004-02-20,27.8,28.0,27.2,27.3,55451438.0
