mode,max_cut,up_days,target_vol,blend,rank_buffer,cost_hurdle_mult,min_hold,train_score,train_ret,train_mdd,train_sharpe,train_turnover,crisis_mdd
tail,0.6,20,0.16,0.5,0,5,42,-0.1133497632087094,0.2533180171920075,-0.3383471044882522,0.2004234135313734,96.72603453120404,-0.3383471044882522
tail,0.5,20,0.16,0.5,0,5,42,-0.11551688893144783,0.301640342164585,-0.3874282881898421,0.2140758292599963,102.2730516643808,-0.3874282881898421
tail,0.4,10,0.16,0.5,0,5,42,-0.13993056075439336,0.3320623514764267,-0.43563738029477606,0.21811760802923857,116.33458547793576,-0.43563738029477606
tail,0.6,20,0.16,0.5,0,10,42,-0.14437889256971673,0.2235706771982855,-0.33834710448825245,0.1862969510832004,96.46432077613963,-0.33834710448825245
tail,0.5,20,0.16,0.5,0,10,42,-0.14886959881146367,0.269438044741513,-0.3874282881898423,0.20093931057035627,101.94657284033991,-0.3874282881898423
tail,0.4,10,0.16,0.5,0,10,42,-0.17528972444091293,0.29771085492754,-0.43563738029477583,0.20611693006837695,115.94978416102958,-0.43563738029477583
tail,0.6,20,0.16,0.5,1,10,21,-0.22524202616560546,0.14734609787765707,-0.34270613290105656,0.14839142526776233,89.44226733796441,-0.34270613290105656
tail,0.6,20,0.16,0.5,1,10,42,-0.23572630724598484,0.14685215648935857,-0.35205521295412967,0.14811902423174617,90.6703064087767,-0.35205521295412967
tail,0.5,20,0.16,0.5,1,10,21,-0.24542723055063223,0.17817669649921575,-0.3927455784859707,0.16168570228814907,94.05383758538439,-0.3927455784859707
tail,0.6,20,0.16,0.5,1,5,42,-0.2562727510569186,0.13217833456359762,-0.3570557557651549,0.1404621003624818,90.88307978321893,-0.3570557557651549
tail,0.5,20,0.16,0.5,1,10,42,-0.259384115171438,0.17472042427583756,-0.40238310994627413,0.1601261363049405,95.46808626299091,-0.40238310994627413
tail,0.6,20,0.16,0.5,1,5,21,-0.2648935178770028,0.11774276749604051,-0.3509563218845353,0.13284056037678776,89.92803905237366,-0.3509563218845353
tail,0.6,20,0.16,0.5,0,5,21,-0.27541133743735274,0.0834782123618465,-0.32082796377189404,0.11455399565785446,99.0339711861813,-0.32082796377189404
tail,0.5,20,0.16,0.5,1,5,42,-0.2837293299732423,0.1566210383753761,-0.407660348561655,0.1518914603805637,95.75833165003951,-0.407660348561655
tail,0.6,20,0.16,0.5,0,10,21,-0.28650382428552035,0.07605081805726188,-0.3244120261681681,0.11047541758781315,98.38031586679091,-0.3208279637718936
tail,0.4,10,0.16,0.5,1,10,21,-0.2900720185418043,0.18802219434354273,-0.44114733620348123,0.16533601547741605,106.96095645921486,-0.44114733620348123
tail,0.5,20,0.16,0.5,1,5,21,-0.2923369606320432,0.14235271021334683,-0.40192258598813846,0.14529192750154674,94.59255521481248,-0.40192258598813846
tail,0.5,20,0.16,0.5,0,5,21,-0.2974652548206145,0.11067230820431684,-0.36886863683793525,0.13060233066259955,104.65831850651212,-0.36886863683793525
tail,0.5,20,0.16,0.5,0,10,21,-0.3060764511537981,0.1021277496795765,-0.36886863683793525,0.12651206299178797,103.9735405892363,-0.36886863683793525
tail,0.4,10,0.16,0.5,1,10,42,-0.30663228906952267,0.18291049850608432,-0.45157467726401934,0.16338017940391591,108.61225650395849,-0.45157467726401934
tail,0.4,10,0.16,0.5,1,5,42,-0.3346633886181718,0.16136357143422964,-0.4570173408186633,0.15483782339388708,108.98680314625375,-0.4570173408186633
tail,0.4,10,0.16,0.5,1,5,21,-0.3433633625163688,0.14658192154950278,-0.4510310078166625,0.14881025761659408,107.59060402173698,-0.4510310078166625
tail,0.4,10,0.16,0.5,0,5,21,-0.3497257478831475,0.11203227921439507,-0.41575195639544316,0.13507534921702274,119.02721124760342,-0.41575195639544316
tail,0.4,10,0.16,0.5,0,10,21,-0.3584064356631867,0.10334394393419855,-0.4157519563954426,0.13140654375855948,118.27815515559718,-0.4157519563954426
